,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Eloy,40,US,1563422502,32,32.76,-111.56,100.4,10.29
1,Ushuaia,40,AR,1563422443,52,-54.81,-68.31,41.0,11.41
2,Port Hardy,75,CA,1563422504,82,50.7,-127.42,57.2,9.17
3,Cape Town,75,ZA,1563422406,93,-33.93,18.42,62.01,18.34
4,Longyearbyen,75,NO,1563422507,75,78.22,15.63,44.6,6.93
5,Ahipara,9,NZ,1563422508,100,-35.17,173.16,61.0,12.01
6,Esperance,75,AU,1563422492,100,-33.86,121.89,57.2,3.36
7,Bara,100,NG,1563422510,90,10.41,10.6,74.57,6.24
8,Puerto Ayora,28,EC,1563422216,95,-0.74,-90.35,69.01,5.01
9,Port Elizabeth,90,US,1563422319,94,39.31,-74.98,77.0,14.99
10,Flin Flon,100,CA,1563422513,82,54.77,-101.88,59.63,2.06
11,Nikolskoye,90,RU,1563422515,88,59.7,30.79,63.0,8.95
12,Bluff,0,AU,1563422297,29,-23.58,149.07,67.19,2.77
13,Vanimo,21,PG,1563422517,80,-2.67,141.3,80.51,8.93
14,New Norfolk,75,AU,1563422423,53,-42.78,147.06,55.99,11.41
15,Straumen,0,NO,1563422519,87,63.87,11.3,57.0,6.93
16,Taltal,9,CL,1563422520,83,-25.41,-70.49,49.55,2.73
17,Bowen,0,AU,1563422521,33,-20.01,148.25,75.0,12.75
18,Nouadhibou,9,MR,1563422522,88,20.93,-17.03,68.0,12.75
19,Port Alfred,46,ZA,1563422302,53,-33.59,26.89,57.99,1.99
20,Albany,90,US,1563422207,100,42.65,-73.75,73.4,2.28
21,Kibakwe,0,TZ,1563422526,91,-6.71,36.37,53.87,4.9
22,Tuktoyaktuk,75,CA,1563422527,87,69.44,-133.03,53.6,9.17
23,Zyryanskoye,88,RU,1563422528,68,56.83,86.62,69.53,2.64
24,Pangnirtung,7,CA,1563422529,66,66.15,-65.72,46.85,2.71
25,Kodiak,1,US,1563422530,37,39.95,-94.76,87.8,10.29
26,Ponta do Sol,67,BR,1563422485,77,-20.63,-46.0,52.43,5.61
27,Hobart,75,AU,1563422420,53,-42.88,147.33,55.99,11.41
28,Aklavik,75,CA,1563422533,64,68.22,-135.01,68.0,9.17
29,Cabo San Lucas,5,MX,1563422309,65,22.89,-109.91,86.0,13.87
30,Dingle,92,PH,1563422437,73,11.0,122.67,83.21,18.97
31,Atuona,0,PF,1563422480,69,-9.8,-139.03,80.33,11.27
32,Jamestown,58,AU,1563422454,70,-33.21,138.6,53.51,13.02
33,Lompoc,1,US,1563422261,82,34.64,-120.46,66.0,8.05
34,Hilo,90,US,1563422452,61,19.71,-155.08,80.6,8.05
35,La Asuncion,0,AR,1563422541,60,-26.05,-65.39,51.17,7.29
36,Poya,1,NC,1563422542,65,-21.35,165.16,67.73,9.04
37,Qaanaaq,0,GL,1563422543,55,77.48,-69.36,42.53,4.5
38,Busselton,100,AU,1563422425,67,-33.64,115.35,64.99,8.12
39,Presidencia Roque Saenz Pena,0,AR,1563422545,70,-26.79,-60.44,56.03,7.31
40,Narrabri,0,AU,1563422546,38,-30.33,149.78,61.0,6.93
41,Wellington,67,NZ,1563422291,58,-41.29,174.78,55.99,13.87
42,Bredasdorp,61,ZA,1563422464,67,-34.53,20.04,66.99,3.36
43,Pisco,0,PE,1563422550,87,-13.71,-76.2,60.8,10.29
44,Mataura,100,NZ,1563422430,80,-46.19,168.86,50.0,1.99
45,Nanortalik,100,GL,1563422552,95,60.14,-45.24,41.45,1.23
46,Kyzyl-Suu,79,KG,1563422553,69,42.34,78.0,65.93,5.82
47,Zarand,0,IR,1563422554,10,30.81,56.57,71.6,6.93
48,Vaini,40,IN,1563422417,83,15.34,74.49,75.2,4.7
49,Lebu,100,ET,1563422556,96,8.96,38.73,54.23,1.86
50,Namwala,44,ZM,1563422558,86,-15.75,26.45,45.59,2.66
51,Carutapera,12,BR,1563422559,90,-1.2,-46.02,75.11,3.38
52,Hermanus,100,ZA,1563422560,70,-34.42,19.24,66.99,18.01
53,Evensk,97,RU,1563422561,88,61.92,159.24,55.31,7.31
54,Quime,99,BO,1563422562,89,-16.98,-67.22,37.31,3.47
55,Airai,88,TL,1563422433,46,-8.93,125.41,82.85,4.25
56,Dunedin,86,NZ,1563422489,53,-45.87,170.5,51.01,5.99
57,Khandbari,10,NP,1563422565,79,27.38,87.21,65.21,4.18
58,Guerrero Negro,0,MX,1563422566,89,27.97,-114.04,66.65,9.48
59,Rikitea,25,PF,1563422271,72,-23.12,-134.97,70.79,25.23
60,Camacha,40,PT,1563422569,68,33.08,-16.33,68.0,16.11
61,Chokurdakh,96,RU,1563422570,60,70.62,147.9,43.79,8.84
62,Klaksvik,50,FO,1563422571,100,62.23,-6.59,50.0,8.05
63,Kruisfontein,19,ZA,1563422572,38,-34.0,24.73,53.51,6.17
64,Lorengau,17,PG,1563422573,80,-2.02,147.27,81.95,9.13
65,Punta Arenas,0,CL,1563422432,92,-53.16,-70.91,28.4,6.93
66,Ostrovnoy,1,RU,1563422362,74,68.05,39.51,50.27,8.46
67,Capinopolis,11,BR,1563422576,47,-18.68,-49.57,59.81,4.34
68,Los Llanos de Aridane,90,ES,1563422361,64,28.66,-17.92,71.6,20.8
69,Sabang,100,PH,1563422579,75,13.8,121.11,82.67,14.41
70,Yerbogachen,2,RU,1563422580,53,61.28,108.01,67.01,12.8
71,Te Anau,100,NZ,1563422581,89,-45.41,167.72,41.81,1.99
72,Lillooet,75,CA,1563422318,52,50.69,-121.94,69.8,11.41
73,Ballina,100,IE,1563422583,91,54.11,-9.15,57.99,7.0
74,Fortuna,0,ES,1563422300,83,38.18,-1.13,73.99,3.36
75,Nanakuli,75,US,1563422585,88,21.39,-158.15,86.0,18.34
76,Camargo,81,MX,1563422587,40,27.69,-105.17,82.67,5.08
77,Ribeira Grande,5,PT,1563422470,87,38.52,-28.7,71.69,15.01
78,Ajdabiya,0,LY,1563422589,76,30.75,20.22,76.73,13.38
79,Arraial do Cabo,99,BR,1563422468,77,-22.97,-42.02,65.75,9.98
80,Chuy,81,UY,1563422591,87,-33.69,-53.46,54.41,12.97
81,Saint-Philippe,1,CA,1563422592,83,45.36,-73.48,72.0,3.36
82,San Ramon,100,NI,1563422458,95,12.92,-85.84,67.55,6.22
83,Shimoda,75,JP,1563422594,83,34.7,138.93,82.4,2.24
84,Mount Gambier,90,AU,1563422596,81,-37.83,140.78,53.6,13.87
85,Kapaa,90,US,1563422413,62,22.08,-159.32,86.0,9.17
86,Anito,100,PH,1563422598,48,12.45,125.29,90.95,9.04
87,Alofi,75,NU,1563422599,88,-19.06,-169.92,77.0,10.29
88,Nara,75,JP,1563422507,74,34.68,135.8,91.0,4.7
89,Kazachinskoye,88,RU,1563422601,80,57.69,93.28,67.73,4.88
90,Bokovskaya,0,RU,1563422602,79,49.23,41.83,63.59,5.01
91,Impfondo,100,CD,1563422603,94,1.62,18.06,71.51,2.39
92,Sibu,75,MY,1563422604,66,2.29,111.83,86.0,5.82
93,Vila Velha,40,BR,1563422606,78,-3.71,-38.6,86.0,10.29
94,Antoniny,0,UA,1563422607,97,49.81,26.86,48.83,7.18
95,Hasaki,75,JP,1563422426,88,35.73,140.83,84.99,9.17
96,Kamenka,0,MD,1563422322,88,48.03,28.7,52.0,4.18
97,Hobyo,28,SO,1563422445,68,5.35,48.53,75.47,18.37
98,Dikson,73,RU,1563422349,64,73.51,80.55,46.85,7.81
99,Bonthe,100,SL,1563422612,88,7.53,-12.5,75.47,6.13
100,Pevek,34,RU,1563422613,94,69.7,170.27,32.27,7.94
101,Okato,100,NZ,1563422614,68,-39.19,173.88,56.21,16.53
102,Kirakira,22,SB,1563422615,84,-10.46,161.92,80.15,15.3
103,Petropavlovsk-Kamchatskiy,66,RU,1563422613,64,53.05,158.65,73.4,8.95
104,Codrington,0,AU,1563422618,32,-28.95,153.24,68.0,6.93
105,Ambon,20,FR,1563422619,100,47.55,-2.56,64.99,3.36
106,Thompson,90,CA,1563422620,64,55.74,-97.86,68.0,8.37
107,Bukama,0,CD,1563422621,42,-9.2,25.85,57.65,2.73
108,Kavieng,20,PG,1563422622,76,-2.57,150.8,83.39,13.24
109,Nome,1,US,1563422373,100,30.04,-94.42,84.0,3.36
110,Norrkoping,26,SE,1563422624,100,58.59,16.18,51.8,1.59
111,Barrow,89,AR,1563422626,75,-38.31,-60.23,54.77,17.54
112,Tautira,20,PF,1563422627,61,-17.73,-149.15,78.8,8.05
113,Luderitz,0,NA,1563422628,65,-26.65,15.16,51.8,3.36
114,Isla Vista,27,US,1563422629,82,34.41,-119.86,66.99,5.82
115,Taoudenni,0,ML,1563422446,20,22.68,-3.98,97.25,16.11
116,Mahebourg,40,MU,1563422631,56,-20.41,57.7,71.6,17.22
117,Georgetown,40,GY,1563422632,100,6.8,-58.16,75.2,4.7
118,Iskateley,36,RU,1563422633,67,67.68,53.15,51.71,10.18
119,Tasiilaq,0,GL,1563422635,81,65.61,-37.64,48.2,5.82
120,Kajaani,97,FI,1563422636,100,64.22,27.73,51.8,4.7
121,Bom Jesus,2,BR,1563422637,45,-9.08,-44.36,68.45,0.56
122,Avarua,1,CK,1563422638,69,-21.21,-159.78,75.2,16.11
123,Alice Springs,0,AU,1563422425,24,-23.7,133.88,69.8,11.41
124,Richards Bay,0,ZA,1563422640,38,-28.77,32.06,69.35,6.31
125,Cidreira,0,BR,1563422641,88,-30.17,-50.22,58.01,10.13
126,Faanui,0,PF,1563422643,75,-16.48,-151.75,76.73,18.9
127,Bambous Virieux,40,MU,1563422644,56,-20.34,57.76,71.6,17.22
128,Margate,75,AU,1563422645,53,-43.03,147.26,55.99,11.41
129,Novomykolayivka,0,UA,1563422646,92,48.54,32.26,53.33,7.45
130,Saint-Pierre,0,FR,1563422647,63,48.95,4.24,62.6,3.36
131,Coihaique,40,CL,1563422401,99,-45.58,-72.07,37.4,3.36
132,Union de San Antonio,75,MX,1563422650,68,21.1,-101.97,68.0,6.93
133,Butaritari,100,KI,1563422651,66,3.07,172.79,83.93,5.88
134,Comodoro Rivadavia,0,AR,1563422652,70,-45.87,-67.48,44.6,21.92
135,Tiksi,100,RU,1563422653,85,71.64,128.87,38.93,12.26
136,Ambilobe,78,MG,1563422654,66,-13.19,49.05,65.21,7.61
137,Ribeira Brava,20,PT,1563422655,68,32.65,-17.07,68.0,11.41
138,Batemans Bay,0,AU,1563422656,51,-35.71,150.18,64.0,2.77
139,Castro,40,CL,1563422457,87,-42.48,-73.76,44.6,11.41
140,Ayan,0,IR,1563422659,38,38.23,44.7,75.2,2.24
141,Pitimbu,0,BR,1563422660,94,-7.47,-34.81,71.6,5.82
142,Guaraciaba do Norte,1,BR,1563422661,80,-4.16,-40.75,67.73,3.94
143,Alenquer,0,BR,1563422662,94,-1.95,-54.74,71.6,2.24
144,Khatanga,0,RU,1563422663,42,71.98,102.47,64.13,5.53
145,Oriximina,100,BR,1563422664,85,-1.77,-55.87,77.27,5.01
146,Kaitangata,92,NZ,1563422494,61,-46.28,169.85,48.99,1.01
147,Upernavik,100,GL,1563422312,86,72.79,-56.15,45.23,10.96
148,Hithadhoo,99,MV,1563422391,70,-0.6,73.08,83.39,14.12
149,Prattville,1,US,1563422445,100,32.46,-86.46,82.4,2.28
150,Ust-Kut,100,RU,1563422670,85,56.78,105.75,68.27,3.44
151,Khandyga,99,RU,1563422671,79,62.65,135.58,58.37,9.51
152,Xining,100,CN,1563422672,78,36.62,101.77,55.49,1.19
153,Port Moresby,75,PG,1563422673,78,-9.47,147.16,80.6,20.8
154,Gorontalo,95,ID,1563422674,81,0.54,123.06,77.81,5.08
155,Yellowknife,75,CA,1563422435,56,62.45,-114.38,73.4,6.93
156,Chicama,90,PE,1563422676,88,-7.84,-79.15,62.6,10.29
157,Victoria,75,BN,1563422678,74,5.28,115.24,89.6,4.7
158,Natchitoches,1,US,1563422679,88,31.76,-93.09,80.6,3.36
159,Padang,100,ID,1563422680,82,-0.92,100.36,81.23,12.28
160,Sao Filipe,100,CV,1563422681,79,14.9,-24.5,73.49,5.32
161,Taksimo,93,RU,1563422682,52,56.36,114.84,75.65,6.24
162,Abakaliki,100,NG,1563422683,95,6.32,8.11,73.31,4.68
163,Lavrentiya,100,RU,1563422685,62,65.58,-170.99,60.53,4.09
164,Pasighat,0,IN,1563422686,59,28.06,95.33,85.55,1.74
165,Saint George,75,GR,1563422687,88,39.45,22.34,70.0,1.88
166,Katherine,87,AU,1563422688,20,-14.47,132.26,84.2,16.11
167,Dryden,75,CA,1563422689,93,49.79,-92.84,64.4,13.87
168,Meulaboh,67,ID,1563422690,79,4.14,96.13,81.95,9.19
169,Pathein,8,MM,1563422691,76,16.78,94.73,84.65,4.47
170,Morehead,75,US,1563422693,94,38.18,-83.43,73.99,8.05
171,Touros,20,BR,1563422694,100,-5.2,-35.46,71.6,4.7
172,Sharjah,100,AE,1563422695,67,25.36,55.39,93.2,6.93
173,Roald,92,NO,1563422461,93,62.58,6.12,55.4,2.24
174,Wasilla,1,US,1563422697,53,61.58,-149.44,73.4,14.99
175,Dublin,40,IE,1563422403,87,53.35,-6.26,57.0,10.29
176,Cherskiy,94,RU,1563422438,50,68.75,161.3,45.77,8.9
177,Bundaberg,0,AU,1563422700,21,-24.87,152.35,71.6,12.75
178,Pascagoula,0,US,1563422616,100,30.37,-88.56,84.2,3.8
179,Homer,1,US,1563422702,55,59.64,-151.54,71.01,12.75
180,Geraldton,90,CA,1563422704,68,49.72,-86.95,66.2,3.36
181,Ati,95,TD,1563422705,48,13.21,18.34,86.81,13.04
182,Nichinan,75,JP,1563422706,94,31.65,131.31,84.2,8.05
183,Pemba,0,MZ,1563422707,84,-12.97,40.52,70.79,13.11
184,Barao de Melgaco,0,BR,1563422708,65,-16.19,-55.97,77.0,4.7
185,Banda Aceh,82,ID,1563422709,73,5.56,95.32,83.93,16.28
186,Leningradskiy,98,RU,1563422710,91,69.38,178.42,37.31,9.91
187,Loviisa,0,FI,1563422441,87,60.46,26.23,62.01,6.93
188,Verkhnebakanskiy,20,RU,1563422713,94,44.84,37.66,68.0,8.95
189,Fort Nelson,75,CA,1563422714,68,58.81,-122.69,64.4,9.17
190,Walvis Bay,0,NA,1563422715,25,-22.95,14.51,66.2,2.24
191,Brezoi,0,RO,1563422716,87,45.34,24.24,52.0,4.7
192,Riberalta,42,BO,1563422717,75,-11.0,-66.08,74.03,1.43
193,Auki,100,NG,1563422719,80,12.18,6.51,75.83,10.71
194,Marawi,95,PH,1563422720,72,8.0,124.29,84.99,5.01
195,Namibe,0,AO,1563422424,76,-15.19,12.15,68.99,7.83
196,Igrim,83,RU,1563422722,90,63.19,64.42,63.05,3.0
197,Rio Gallegos,90,AR,1563422723,93,-51.62,-69.22,35.6,3.36
198,Suzuka,75,JP,1563422724,83,34.89,136.59,82.99,11.41
199,Hohhot,100,CN,1563422725,65,40.81,111.65,77.0,4.47
200,Suba,100,CN,1563422726,84,28.73,103.51,73.13,1.36
201,Rio Bonito,75,BR,1563422728,87,-22.71,-42.63,64.4,2.24
202,Sumbe,37,AO,1563422711,87,-11.2,13.84,69.35,3.06
203,Ilulissat,100,GL,1563422703,93,69.22,-51.1,44.6,1.12
204,Leiyang,70,CN,1563422731,63,26.42,112.85,92.03,3.8
205,Nicolas Bravo,90,MX,1563422732,40,24.39,-104.74,71.6,11.41
206,East London,0,ZA,1563422733,44,-33.02,27.91,59.0,8.05
207,Paamiut,100,GL,1563422734,95,61.99,-49.67,43.07,29.68
208,Kargil,0,PK,1563422711,36,34.56,76.13,54.77,2.01
209,Nemuro,75,JP,1563422737,88,43.32,145.57,69.8,13.87
210,Kandrian,43,PG,1563422738,85,-6.21,149.55,79.25,9.6
211,Broken Hill,75,AU,1563422739,58,-31.97,141.45,57.2,4.7
212,Mar del Plata,43,AR,1563422740,78,-46.43,-67.52,36.59,20.76
213,Lasa,40,CY,1563422741,78,34.92,32.53,77.0,9.17
214,Beloha,0,MG,1563422742,70,-25.17,45.06,61.07,5.86
215,Meaux,0,FR,1563422743,55,48.96,2.9,63.0,6.93
216,Ojinaga,40,US,1563422745,40,29.56,-104.41,86.0,14.99
217,Yulara,0,AU,1563422746,26,-25.24,130.99,69.8,8.05
218,Araripe,0,BR,1563422747,37,-7.21,-40.14,68.09,8.08
219,Abu Zabad,63,SD,1563422748,68,12.35,29.25,73.67,13.89
220,Havre-Saint-Pierre,20,CA,1563422749,54,50.23,-63.6,59.0,10.29
221,Port Lincoln,67,AU,1563422751,81,-34.72,135.86,56.93,26.82
222,Picota,20,PE,1563422752,290,-6.92,-76.33,62.6,3.36
223,Sinnamary,100,GF,1563422753,80,5.38,-52.96,81.95,10.65
224,Hami,100,CN,1563422754,43,42.84,93.51,79.25,4.52
225,Kindersley,75,CA,1563422755,82,51.47,-109.16,62.6,16.11
226,Bethel,90,US,1563422715,72,60.79,-161.76,60.8,11.41
227,Tazovskiy,95,RU,1563422663,71,67.47,78.7,58.19,6.98
228,Cachoeirinha,0,BR,1563422758,100,-29.95,-51.09,53.01,5.82
229,Barranca,100,PE,1563422759,87,-10.75,-77.76,61.61,17.09
230,Plettenberg Bay,57,ZA,1563422761,42,-34.05,23.37,57.47,4.43
231,Tuatapere,100,NZ,1563422762,80,-46.13,167.69,50.0,1.99
232,Vytegra,100,RU,1563422763,90,61.01,36.45,59.09,9.22
233,Wenling,46,CN,1563422764,70,28.38,121.38,93.0,7.25
234,Samana,0,EC,1563422765,96,0.12,-76.97,69.35,1.7
235,Sao Joao da Barra,23,BR,1563422534,87,-21.64,-41.05,58.91,3.76
236,Gubin,6,PL,1563422767,89,51.95,14.73,54.0,2.89
237,Atambua,100,ID,1563422769,66,-9.11,124.89,78.17,8.28
238,Kathu,0,ZA,1563422497,62,-27.7,23.05,37.99,6.46
239,Pacific Grove,75,US,1563422699,87,36.62,-121.92,69.01,4.7
240,Kamaishi,75,JP,1563422772,83,39.28,141.86,73.4,12.75
241,Nyurba,0,RU,1563422773,42,63.29,118.35,60.53,11.65
242,Great Yarmouth,100,GB,1563422774,87,52.61,1.73,62.01,5.82
243,Bambanglipuro,64,ID,1563422775,84,-7.95,110.28,75.47,18.7
244,Northam,75,AU,1563422776,77,-31.65,116.67,60.8,3.36
245,Penzance,100,GB,1563422778,93,50.12,-5.53,60.8,10.29
246,Saquena,28,PE,1563422779,98,-4.67,-73.52,72.05,1.54
247,Aktau,0,KZ,1563422780,48,43.65,51.16,86.0,20.13
248,Pontes e Lacerda,100,BR,1563422781,57,-15.23,-59.33,72.95,4.25
249,Waingapu,70,ID,1563422782,53,-9.65,120.26,81.59,15.1
250,The Valley,40,AI,1563422783,78,18.22,-63.06,82.4,10.29
251,Wattegama,100,LK,1563422784,93,7.35,80.68,74.75,5.61
252,Sitka,0,US,1563422736,52,37.17,-99.65,84.99,13.0
253,Phan Thiet,100,VN,1563422750,63,10.93,108.1,86.63,8.84
254,Tura,0,RU,1563422788,46,64.27,100.22,63.77,15.66
255,Bandarbeyla,92,SO,1563422789,56,9.49,50.81,78.89,30.27
256,Rio Branco,0,BR,1563422790,94,-9.98,-67.82,71.6,3.33
257,Bilma,17,NE,1563422791,23,18.69,12.92,92.03,13.98
258,Buraydah,0,SA,1563422792,41,26.33,43.97,78.8,8.05
259,Kirkuk,0,IQ,1563422793,25,35.47,44.4,81.95,4.5
260,Saskylakh,4,RU,1563422448,56,71.97,114.09,50.99,11.01
261,Caravelas,0,BR,1563422797,71,-17.73,-39.27,71.87,15.86
262,Baker City,90,US,1563422798,52,44.77,-117.83,77.0,12.75
263,Killybegs,100,IE,1563422799,91,54.63,-8.45,55.0,7.0
264,Panaba,100,MX,1563422523,74,21.28,-88.27,82.13,10.71
265,Kaeo,9,NZ,1563422801,100,-35.1,173.78,61.0,7.61
266,Samarai,97,PG,1563422802,80,-10.62,150.67,75.83,6.69
267,Santa Isabel,1,MX,1563422803,18,32.63,-115.58,98.6,17.22
268,Pedernales,20,EC,1563422804,89,0.07,-80.05,73.49,15.03
269,Sorrento,75,AU,1563422806,72,-31.82,115.75,64.99,8.05
270,Wajima,75,JP,1563422807,83,37.4,136.9,78.8,5.82
271,Beira,0,ES,1563422760,100,43.2,-8.36,60.01,2.24
