,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
272,Anadyr,40,RU,1563422809,82,64.73,177.51,60.8,9.71
273,Narsaq,100,GL,1563422810,71,60.91,-46.05,50.0,5.82
274,Beipiao,0,CN,1563422811,49,41.8,120.76,83.03,6.62
275,Clyde River,90,CA,1563422812,100,70.47,-68.59,35.6,8.05
276,Cap-Haitien,100,HT,1563422813,77,19.76,-72.2,82.49,20.71
277,Ekibastuz,99,KZ,1563422815,65,51.72,75.32,73.31,10.42
278,Taunggyi,92,MM,1563422817,80,20.78,97.03,78.35,1.83
279,Gamba,2,CN,1563422818,51,28.28,88.52,46.85,4.68
280,Druzhba,0,UA,1563422819,95,49.36,25.65,49.19,8.03
281,San Quintin,100,PH,1563422820,91,17.54,120.52,77.81,20.2
282,Ayotzintepec,82,MX,1563422821,90,17.67,-96.13,52.97,1.61
283,Marsa Matruh,0,EG,1563422822,83,31.35,27.25,73.4,5.82
284,Aksarka,68,RU,1563422824,75,66.56,67.8,70.43,12.39
285,Vallenar,23,CL,1563422825,84,-28.58,-70.76,47.57,1.54
286,Katsuura,75,JP,1563422826,88,33.93,134.5,82.0,16.11
287,Saint-Ambroise,5,CA,1563422827,71,48.56,-71.32,57.2,2.24
288,Praia da Vitoria,20,PT,1563422828,83,38.73,-27.07,71.6,10.69
289,Cairns,20,AU,1563422680,44,-16.92,145.77,77.0,16.11
290,Amahai,100,ID,1563422830,89,-3.31,129.0,77.45,13.0
291,Matamoros,1,US,1563422832,83,25.87,-97.51,84.2,9.17
292,Canton,1,US,1563422607,88,40.8,-81.38,73.4,4.74
293,Fairbanks,40,US,1563422572,49,64.84,-147.72,75.99,5.82
294,Marica,75,BR,1563422835,87,-22.92,-42.82,64.4,2.24
295,Oranjemund,0,ZA,1563422836,73,-28.55,16.43,55.67,5.12
296,San Rafael,0,AR,1563422837,39,-34.61,-68.33,52.97,11.25
297,Eyl,61,SO,1563422838,58,7.98,49.82,75.29,27.67
298,Mabaruma,34,GY,1563422839,99,8.2,-59.78,73.13,2.13
299,Kingman,1,US,1563422775,23,35.19,-114.05,102.2,9.17
300,Sortland,100,NO,1563422842,76,68.69,15.42,50.0,13.87
301,Tiznit,0,MA,1563422843,89,29.7,-9.73,66.11,18.57
302,San Juan,90,AR,1563422693,16,-31.54,-68.53,53.33,9.71
303,Lagoa,0,PT,1563422845,68,37.14,-8.45,69.8,6.93
304,Saint-Jerome,20,CA,1563422680,59,45.78,-74.0,72.0,2.24
305,Aguada de Pasajeros,100,CU,1563422847,86,22.38,-80.85,78.17,4.61
306,Baykit,0,RU,1563422848,55,61.68,96.39,73.67,12.44
307,Maceio,40,BR,1563422850,83,-9.67,-35.74,71.6,8.05
308,Ust-Kuyga,100,RU,1563422851,65,70.0,135.55,43.79,18.97
309,Provideniya,75,RU,1563422852,72,64.42,-173.23,59.0,17.9
310,Taree,0,AU,1563422853,32,-31.91,152.46,69.01,14.99
311,Half Moon Bay,5,US,1563422755,64,37.46,-122.43,73.99,6.93
312,Agbor,69,NG,1563422855,99,6.26,6.15,70.97,2.82
313,Sangmelima,100,CM,1563422856,99,2.93,11.98,67.91,3.36
314,Askino,37,RU,1563422858,72,56.09,56.58,63.59,5.48
315,Simpang,67,ID,1563422859,61,4.36,96.17,85.55,3.13
316,Puerto del Rosario,90,ES,1563422860,68,28.5,-13.86,69.8,20.8
317,Vardo,40,US,1563422311,94,39.62,-77.74,77.0,2.44
318,Kavaratti,90,IN,1563422794,88,10.57,72.64,80.6,23.04
319,General Pico,0,AR,1563422863,86,-35.66,-63.75,52.61,3.83
320,Vostok,24,RU,1563422864,82,46.45,135.83,72.05,9.1
321,Lufilufi,90,WS,1563422865,94,-13.87,-171.6,78.8,12.75
322,Tambo,98,PE,1563422867,82,-12.95,-74.02,44.15,3.11
323,Dasoguz,0,TM,1563422868,35,41.84,59.97,89.6,6.93
324,Pishin,0,PK,1563422869,42,30.58,67.0,80.33,3.74
325,Galesong,2,ID,1563422870,77,-5.32,119.37,79.97,17.16
326,Llangefni,93,GB,1563422871,82,53.26,-4.31,59.0,8.05
327,Nueva Granada,61,CO,1563422872,84,9.8,-74.39,76.01,3.69
328,Madingou,42,CG,1563422873,92,-4.17,13.56,69.71,3.67
329,Quatre Cocos,40,MU,1563422874,56,-20.21,57.76,71.6,17.22
330,Hervey Bay,0,AU,1563422876,21,-25.3,152.85,71.6,12.75
331,Ucluelet,1,CA,1563422663,88,48.94,-125.55,61.0,4.0
332,Soubre,69,CI,1563422878,98,5.79,-6.61,70.43,3.24
333,Cap Malheureux,40,MU,1563422879,56,-19.98,57.61,71.6,17.22
334,Omboue,85,GA,1563422880,89,-1.57,9.26,74.93,13.27
335,Trincomalee,100,LK,1563422881,64,8.58,81.23,85.19,9.82
336,Hudson Bay,100,CA,1563422882,93,52.86,-102.4,58.55,5.41
337,Palmer,75,AU,1563422884,76,-34.85,139.16,59.0,16.11
338,Lahij,72,YE,1563422885,59,13.06,44.88,85.19,4.65
339,Plastun,100,RU,1563422886,89,44.76,136.29,69.89,2.08
340,North Olmsted,1,US,1563422714,88,41.42,-81.92,75.99,8.52
341,Kudahuvadhoo,100,MV,1563422888,71,2.67,72.89,82.67,18.72
342,Mount Pleasant,1,US,1563422889,83,33.16,-94.97,84.99,5.84
343,Jasdan,1,IN,1563422890,83,22.04,71.2,89.01,10.27
344,Saint-Augustin,20,CA,1563422892,59,45.63,-73.98,72.0,2.24
345,Sola,80,TZ,1563422893,61,-3.17,33.8,65.21,8.72
346,Vila Franca do Campo,20,PT,1563422894,82,37.72,-25.43,64.4,4.7
347,Uwajima,75,JP,1563422895,94,33.22,132.57,77.0,11.41
348,Novokorsunskaya,0,RU,1563422896,77,45.64,39.14,73.99,4.47
349,Bonavista,100,CA,1563422897,82,48.65,-53.11,57.99,11.01
350,Riyadh,0,SA,1563422898,17,24.63,46.72,80.6,5.82
351,Nizhniy Kuranakh,62,RU,1563422900,58,58.84,125.49,72.77,7.2
352,Kindu,0,CD,1563422901,50,-2.95,25.92,69.53,3.04
353,Port Keats,81,AU,1563422902,25,-14.25,129.55,85.37,11.03
354,Nowa Sol,84,PL,1563422903,100,51.8,15.72,54.0,2.75
355,Guangyuan,14,CN,1563422904,80,32.43,105.86,80.01,3.78
356,Portland,1,US,1563422862,94,43.66,-70.25,73.99,4.7
357,Dundee,40,GB,1563422906,93,56.46,-2.97,55.4,11.41
358,Lamu,86,CN,1563422907,51,35.77,102.37,66.65,3.27
359,Carnarvon,58,ZA,1563422909,27,-30.97,22.13,44.69,5.95
360,Torbay,90,CA,1563422910,82,47.66,-52.73,62.01,13.87
361,Uyuni,83,BO,1563422911,35,-20.46,-66.82,39.29,5.66
362,Coquimbo,0,CL,1563422912,93,-29.95,-71.34,48.2,3.36
363,Phuket,40,TH,1563422793,88,7.89,98.4,87.8,3.36
364,Port Macquarie,0,AU,1563422914,32,-31.43,152.91,73.0,14.99
365,Kangaba,100,ML,1563422915,92,11.94,-8.41,73.31,2.86
366,Moron,9,HT,1563422916,80,18.56,-74.26,79.79,4.09
367,Tiarei,20,PF,1563422918,61,-17.53,-149.33,78.8,8.05
368,Severo-Yeniseyskiy,55,RU,1563422919,59,60.37,93.04,73.49,8.77
369,Fukue,75,JP,1563422920,83,35.03,136.69,82.99,11.41
370,Sibolga,97,ID,1563422467,76,1.74,98.78,81.41,5.75
371,Haian,100,CN,1563422922,69,32.53,120.46,88.0,7.87
372,Chimoio,0,MZ,1563422923,93,-19.11,33.48,53.6,2.59
373,San Patricio,0,PY,1563422479,87,-26.98,-56.83,52.25,6.2
374,Cedar City,1,US,1563422670,12,37.68,-113.06,75.2,9.17
375,Hammerfest,100,NO,1563422927,87,70.66,23.68,44.6,4.7
376,Ypsonas,20,CY,1563422928,78,34.69,32.96,77.0,10.29
377,Gizo,0,IL,1563422810,83,31.8,34.94,78.8,4.7
378,Vestmanna,87,FO,1563422930,100,62.16,-7.17,50.0,8.05
379,Cabedelo,0,BR,1563422931,94,-6.97,-34.84,71.6,5.82
380,Broome,94,GB,1563422932,87,52.47,1.45,62.6,5.82
381,Kalmar,0,SE,1563422933,100,56.66,16.36,57.0,3.36
382,Xichang,100,CN,1563422935,90,27.88,102.25,66.11,3.13
383,Great Bend,1,US,1563422936,54,38.36,-98.78,89.6,10.29
384,Nandu,75,CN,1563422937,79,31.44,119.33,86.0,6.71
385,Champasak,90,LA,1563422938,83,14.89,105.88,82.4,6.93
386,Hofn,100,IS,1563422939,97,64.25,-15.21,41.45,16.24
387,Kenai,1,US,1563422940,59,60.55,-151.26,71.6,10.29
388,Hamilton,90,CA,1563422775,100,43.26,-79.87,75.2,9.17
389,Gombong,15,ID,1563422943,50,-7.19,109.31,84.47,5.68
390,Itaiba,18,BR,1563422944,98,-8.95,-37.42,63.23,8.23
391,Stovring,32,DK,1563422945,92,56.89,9.84,57.0,4.32
392,Westport,90,US,1563422841,94,41.14,-73.36,73.99,3.36
393,Warri,96,NG,1563422947,88,5.52,5.75,76.55,8.66
394,Iqaluit,75,CA,1563422948,71,63.75,-68.52,51.8,4.12
395,Barinas,0,VE,1563422949,92,8.64,-70.23,71.51,2.17
396,Drexel Heights,1,US,1563422950,33,32.14,-111.03,96.8,16.11
397,Henties Bay,0,NA,1563422952,60,-22.12,14.28,61.61,14.16
398,Yeppoon,0,AU,1563422953,17,-23.13,150.74,73.4,12.75
399,Khani,40,GE,1563422954,100,41.96,42.96,69.8,4.7
400,Kawhia,2,NZ,1563422955,81,-38.07,174.82,57.0,5.01
401,Miraflores,75,PE,1563422956,16,-16.39,-71.52,59.0,5.82
402,Bilibino,99,RU,1563422785,59,68.06,166.44,43.25,6.13
403,Salamiyah,13,SY,1563422914,81,35.01,37.05,70.97,11.83
404,Hirara,75,JP,1563422960,100,24.8,125.28,78.8,33.33
405,Maralal,0,KE,1563422961,78,1.1,36.7,57.29,12.46
406,Salinas,75,US,1563422962,87,36.67,-121.66,66.99,4.7
407,Gushikawa,90,JP,1563422963,83,26.35,127.87,82.4,20.8
408,Sorland,0,NO,1563422964,82,67.67,12.69,48.47,19.57
409,Pescia,0,IT,1563422965,100,43.9,10.69,64.99,5.82
410,Mount Isa,0,AU,1563422967,17,-20.73,139.49,77.0,12.75
411,Perelyub,0,RU,1563422968,77,51.87,50.37,66.83,4.43
412,Puerto Madryn,0,AR,1563422969,45,-42.77,-65.04,47.03,25.52
413,Levelland,7,US,1563422970,45,33.59,-102.38,84.99,7.0
414,Talnakh,0,RU,1563422743,44,69.49,88.39,75.2,4.47
415,Pemberton,54,AU,1563422770,69,-34.44,116.03,64.99,2.75
416,Mudanjiang,2,CN,1563422973,73,44.58,129.6,77.63,2.39
417,Point Fortin,40,TT,1563422974,94,10.16,-61.68,75.99,13.85
418,Lynchburg,1,US,1563422685,88,37.41,-79.14,78.8,4.7
419,Dong Hoi,90,VN,1563422977,56,17.48,106.6,90.77,5.28
420,Berlevag,75,NO,1563422978,87,70.86,29.09,44.6,11.41
421,Salalah,90,OM,1563422979,100,17.01,54.1,77.0,3.36
422,Mweka,0,CD,1563422980,50,-4.85,21.56,65.93,1.74
423,Pato Branco,0,BR,1563422981,94,-26.23,-52.67,45.59,5.7
424,Nakusp,84,CA,1563422982,96,50.24,-117.8,55.99,1.01
425,Daru,95,PG,1563422984,88,-9.07,143.21,76.01,10.58
426,Kaseda,75,JP,1563422985,83,31.42,130.32,84.2,10.29
427,Port Hawkesbury,90,CA,1563422986,94,45.62,-61.36,70.0,10.29
428,Natal,20,BR,1563422987,100,-5.81,-35.21,75.2,4.7
429,Saint-Francois,0,FR,1563422988,82,46.42,3.91,55.4,4.05
430,Xushan,75,CN,1563422989,70,30.18,121.25,90.0,6.71
431,Bonga,84,ET,1563422990,99,7.26,36.25,52.97,0.72
432,Tongliao,19,CN,1563422992,33,43.61,122.27,91.49,8.12
433,Harper,1,US,1563422993,61,30.3,-99.24,82.4,10.29
434,Sydney,0,AU,1563422833,27,-33.85,151.22,69.01,11.41
435,Russell,1,US,1563422440,40,38.9,-98.86,89.6,17.22
436,Nantucket,90,US,1563422996,100,41.28,-70.1,75.0,4.7
437,Sajanan,0,TN,1563422997,82,37.06,9.24,68.0,3.36
438,Ancud,40,CL,1563422998,87,-41.87,-73.83,44.6,11.41
439,Velyka Bilozerka,0,UA,1563422999,65,47.27,34.68,64.99,5.66
440,Southampton,100,GB,1563423000,93,50.9,-1.4,64.0,8.05
441,Esmeraldas,0,BR,1563423002,81,-19.76,-44.31,57.2,4.7
442,Puente Grande,90,MX,1563423003,72,20.57,-103.15,68.0,6.93
443,Faya,0,SA,1563422709,37,18.39,42.45,69.8,2.55
444,Karratha,0,AU,1563423005,11,-20.74,116.85,78.71,17.0
445,Huilong,27,CN,1563423006,76,31.15,106.5,84.83,3.47
446,Mandali,0,IQ,1563423007,18,33.75,45.55,91.13,10.27
447,Byron Bay,0,AU,1563423008,30,-28.65,153.62,72.0,6.93
448,Montgomery,1,US,1563422773,100,32.37,-86.3,82.4,2.28
449,Ambunti,63,PG,1563423011,51,-4.22,142.82,93.11,0.98
450,Youhao,80,CN,1563423012,53,47.86,128.84,80.15,2.64
451,Ejido,4,VE,1563423013,78,8.55,-71.24,65.57,6.69
452,Lyaskelya,100,RU,1563423014,95,61.77,31.02,54.59,6.22
453,Sivaki,0,RU,1563423015,33,52.63,126.75,83.57,4.12
454,Amapa,75,HN,1563422804,83,15.09,-87.97,80.6,4.7
455,Linqing,28,CN,1563423017,44,36.85,115.71,92.03,4.92
456,Zuya,0,UA,1563423019,71,45.05,34.32,62.87,2.8
457,Talara,1,PE,1563423020,90,-4.58,-81.27,63.41,21.56
458,Carballo,0,ES,1563423021,100,43.21,-8.69,57.0,2.24
459,Hit,0,IQ,1563423022,20,33.64,42.83,85.73,12.66
460,Souillac,20,FR,1563423023,93,45.6,-0.6,64.99,5.82
461,Baryatino,52,RU,1563423024,97,54.31,34.52,52.97,3.31
462,Pilar,0,AR,1563423025,76,-34.46,-58.91,57.2,6.93
463,Pyapon,25,MM,1563423027,71,16.29,95.68,85.91,6.2
464,Road Town,1,VG,1563423028,83,18.42,-64.62,81.0,11.41
465,Monrovia,75,LR,1563423029,94,6.33,-10.8,75.2,10.16
466,Grindavik,0,IS,1563422344,93,63.84,-22.43,51.8,12.75
467,Camacupa,0,AO,1563423031,49,-12.02,17.48,50.09,3.56
468,Winslow,62,GB,1563423032,82,51.94,-0.88,62.01,4.7
469,Araouane,24,ML,1563423033,25,18.9,-3.53,94.37,11.18
470,Eutin,0,DE,1563423035,100,54.14,10.62,54.0,1.12
471,Constitucion,90,MX,1563423036,40,23.99,-104.67,71.6,11.41
472,Seoul,20,KR,1563422865,52,37.57,126.98,87.8,1.12
473,Nuuk,100,GL,1563423038,87,64.17,-51.74,50.0,3.36
474,Nador,0,MA,1563423039,83,35.17,-2.93,71.6,2.24
475,Crotone,0,IT,1563423040,60,39.09,17.12,68.99,2.91
476,Sauda,83,NO,1563423042,93,59.65,6.35,55.0,2.04
477,Balikpapan,98,ID,1563423043,67,-1.24,116.86,82.67,5.7
478,Port-Cartier,20,CA,1563423044,62,50.03,-66.88,57.99,4.7
479,Bratsk,40,RU,1563423045,73,56.15,101.63,75.2,6.71
480,Klobuck,90,PL,1563423046,88,50.9,18.94,54.0,3.78
481,Babu,93,CN,1563423047,77,23.23,104.89,76.19,4.38
482,Palauig,100,PH,1563423048,77,15.44,119.9,83.57,25.88
483,Cotonou,40,BJ,1563423050,88,6.37,2.43,77.0,12.75
484,Rhyl,75,GB,1563423051,93,53.32,-3.49,59.0,10.29
485,Zapolyarnyy,75,RU,1563423052,93,69.43,30.82,46.4,3.36
486,Sao Jose da Coroa Grande,0,BR,1563423053,92,-8.9,-35.15,68.27,3.62
487,Shimanovsk,0,RU,1563423054,46,52.0,127.67,79.07,7.81
488,Akdepe,0,TM,1563423055,9,42.05,59.39,95.0,9.17
489,Yuci,0,CN,1563423057,35,37.68,112.73,87.8,2.24
490,Pangkalanbuun,82,ID,1563423058,67,-2.68,111.62,84.29,5.35
491,Barcelos,0,BR,1563423059,92,-0.97,-62.93,73.49,0.45
492,Camopi,100,GF,1563423060,98,3.17,-52.33,71.69,2.08
493,Ranong,75,TH,1563423061,100,9.96,98.62,78.8,2.24
494,Ningxiang,20,CN,1563423063,59,28.28,112.55,91.4,2.24
495,Sorong,66,ID,1563423064,68,-0.86,131.25,84.83,4.47
496,Buala,3,SB,1563423065,79,-8.15,159.59,81.95,10.85
497,Vestmannaeyjar,44,IS,1563422775,92,63.44,-20.27,51.71,15.05
498,Norman Wells,90,CA,1563422340,82,65.28,-126.83,66.2,4.7
499,Manaure,0,CO,1563423068,84,11.78,-72.45,78.89,19.55
500,Mandla,21,IN,1563423069,60,22.6,80.37,85.91,11.65
501,Lata,48,IN,1563422783,82,30.78,78.62,47.93,4.9
502,Keuruu,0,FI,1563423072,100,62.26,24.71,55.99,2.24
503,Rio Grande,0,BR,1563422943,97,-32.03,-52.1,50.81,5.99
504,Tottori,75,JP,1563423074,94,35.5,134.23,73.4,9.17
505,Haines Junction,100,CA,1563423075,81,60.75,-137.51,53.33,6.93
506,Kazerun,0,IR,1563423076,30,29.62,51.65,82.31,0.96
507,Santa Helena de Goias,0,BR,1563423077,51,-17.81,-50.6,60.35,4.03
508,Isangel,75,VU,1563423078,57,-19.55,169.27,77.0,9.17
509,Kimbe,22,PG,1563423080,56,-5.56,150.15,88.97,8.08
510,Carnot,93,CF,1563423081,97,4.94,15.87,67.01,1.92
511,Thunder Bay,90,CA,1563422821,87,48.41,-89.26,61.0,12.75
512,Oksfjord,100,NO,1563423083,87,70.24,22.35,50.0,4.7
513,Yenagoa,100,NG,1563423084,94,4.92,6.26,74.75,6.55
514,Dolores Hidalgo,75,MX,1563423010,68,21.16,-100.93,68.0,6.93
515,Kayerkan,0,RU,1563423086,44,69.35,87.76,75.2,4.47
516,Ketchikan,90,US,1563423087,87,55.34,-131.65,57.2,6.93
517,Jishou,58,CN,1563423089,77,28.26,109.7,83.75,4.63
518,Vyartsilya,100,RU,1563423090,97,62.18,30.69,53.51,5.55
519,Beringovskiy,62,RU,1563423091,59,63.05,179.32,68.45,7.05
520,Larap,98,PH,1563423092,73,14.3,122.65,87.17,20.62
521,Chernyshevskiy,0,RU,1563423093,41,63.01,112.47,61.97,11.48
522,Encruzilhada do Sul,0,BR,1563423095,96,-30.54,-52.52,49.73,4.81
523,Balkanabat,0,TM,1563423096,56,39.51,54.36,82.49,7.67
524,Luau,0,CD,1563423097,37,-10.7,22.23,53.51,4.61
525,Tapejara,67,BR,1563423098,84,-23.73,-52.87,52.25,10.45
526,Pundaguitan,100,PH,1563423099,71,6.37,126.17,83.39,8.48
527,Komsomolskiy,100,RU,1563423100,94,67.55,63.78,60.53,14.0
528,Pauini,89,BR,1563423101,73,-7.71,-67.0,75.65,0.89
529,Zhigansk,0,RU,1563423103,42,66.77,123.37,55.49,31.9
530,Eureka,20,US,1563422991,88,40.8,-124.16,64.99,10.29
531,Shenjiamen,70,CN,1563423105,86,29.96,122.3,81.05,10.85
532,Victoria,75,BN,1563423106,74,5.28,115.24,89.6,4.7
533,Pervomayskoye,95,RU,1563423107,76,57.07,86.23,66.83,3.38
534,Avanigadda,90,IN,1563423108,66,16.02,80.92,87.8,3.36
535,Joshimath,42,IN,1563423110,70,30.57,79.57,61.79,4.09
536,Cortez,1,US,1563423111,30,37.35,-108.58,71.6,4.7
537,Chernihiv,56,UA,1563423112,97,51.49,31.29,51.35,8.75
538,Saint Anthony,1,US,1563423113,40,43.97,-111.68,75.2,8.05
539,Adelaide,75,AU,1563422918,76,-34.93,138.6,59.0,16.11
540,Aripuana,15,BR,1563423115,53,-9.17,-60.63,74.75,1.5
541,Huinan,83,CN,1563423116,71,42.68,126.04,78.53,8.19
542,Bytow,0,PL,1563422819,100,54.17,17.49,48.99,1.12
543,Laguna,40,BZ,1563423119,88,16.17,-88.94,80.6,6.93
544,Juneau,90,US,1563423120,72,58.3,-134.42,62.6,5.82
545,Zabol,0,IR,1563423121,16,31.03,61.49,93.2,26.4
546,Yinchuan,90,CN,1563423122,48,38.48,106.21,79.43,5.64
547,Shiyan,100,CN,1563423123,98,32.65,110.78,68.45,3.98
